GM
0.0458908
0.0453186
0.0426102
0.0398636
0.0409698
0.0410843
0.0440216
0.0456238
0.0452805
0.0457382
0.0455475
0.0458527
0.04776
0.0483322
0.0439835
0.0378418
0.0405121
0.0422287
0.0407028
0.0458908
0.0467682
0.0444412
0.0436783
0.0421143
0.0403976
0.0416565
0.0452423
0.0439072
0.0466156
0.0451279
0.0440598
0.0437164
0.0457764
0.0475311
0.0429916
0.0389481
0.0424576
0.0441742
0.0432587
0.0465012
0.0451279
0.0429916
0.0402069
0.0417328
0.039444
0.041275
0.0435638
0.0465012
0.0471115
0.0465775
0.0438309
0.0456619
0.0481415
0.046196
0.0429153
0.0401306
0.0432587
0.040741
0.0444031
0.0468445
0.0471878
0.0445938
0.0403214
0.0408936
0.0418472
0.043335
0.0442123
0.0442886
0.0449753
0.043869
0.043602
0.0444412
0.0469589
0.0446701
0.0413132
0.0395584
0.0426483
0.0425339
0.0429535
0.0466156
0.0461197
0.0435257
0.0395203
0.0413895
0.0399017
0.044136
0.0455093
0.0450897
0.0456619
0.0445175
0.0443268
0.0466919
0.0459671
0.0479126
0.0443268
0.0401688
0.0428009
0.0427628
0.0450516
0.0449371
0.0462723
0.0434494
0.040741
0.0409698
0.0398636
0.0400925
0.043335
0.0449371
0.0469971
0.0453568
0.0443649
0.0460434
0.0488663
0.0472641
0.0418854
0.0394058
0.0430298
0.0440979
0.0440979
0.0476456
0.0462723
0.0439072
0.0413513
0.0406647
0.0405121
0.0435638
0.0450134
0.0443649
0.0444031
0.0455475
0.0434113
0.0445938
0.0468826
0.0469208
0.0435257
0.039444
0.0404739
0.0439835
0.0445175
0.0463867
0.0453949
0.0435638
0.0404739
0.0405502
0.0419998
0.0430679
0.0452423
0.0442886
0.0463486
0.0437546
0.0437546
0.0457382
0.0479507
0.0471878
0.0413895
0.0399399
0.041275
0.0450516
0.0455475
0.0449371
0.0461578
0.0443649
0.041008
0.0417709
0.040741
0.0423431
0.0435257
0.0465393
0.0457764
0.0435257
0.0433731
0.0473404
0.0482941
0.0454712
0.0400925
0.0391388
0.0424576
0.0436401
0.0446701
0.0477219
0.0469971
0.043335
0.0395584
0.0402069
0.0396347
0.0413132
0.0455093
0.0440216
0.0475311
0.0455093
0.044632
0.0455475
0.0473404
0.0452805
0.0420761
0.0424576
0.0436401
0.0437164
0.0458145
0.0477219
0.0450897
0.044136
0.0419998
0.0423431
0.0397873
0.044632
0.0455856
0.0421143
0.0434494
0.0424194
0.0430298
0.0426483
0.0456238
0.0476456
0.0419617
0.0389862
0.0434113
0.045166
0.0451279
0.0453568
0.0450516
0.0435257
0.042305
0.041275
